OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,SHAPE_Length
275,75680010,R,489839,PIKE RAMP,133,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP",2014,489839,8000,313291, ,Y,2503.7754844319
276,77800010,R,490080,SPRING ST ON RAMP,228,"SPRING ST ON RP, SE/O SPRING ST",2014,490080,16700,313310, ,Y,424.613715658628
277,98000130,Y,12906,STEWART ST,19,"STEWART ST, NE/O 9TH AVE",2014,12906,12300,315314,Y, ,2307.89919144827
278,76850010,R,490101,MADISON ST OFF RAMP,147,"MADISON ST OFF RP, SE/O 7TH AVE",2014,490101,14600,314121, ,Y,1244.03245887907
279,76600010,R,490103,JAMES ST OFF RAMP,136,"JAMES ST OFF RP, S/O JAMES ST",2014,490103,12400,314196, ,Y,434.652986933923
280,78150010,R,489863,UNIVERSITY ST ON RAMP,243,"UNIVERSITY ST ON RP, N/O I5 NB",2014,489863,9400,313800, ,Y,1876.98042552455
281,80150170,N,11159,LAKE CITY WAY NE,272,"LAKE CITY WAY NE, NE/O NE 95TH ST",2014,11159,41300,315671, ,Y,8009.31847490532
282,169750080,N,21329,S SPOKANE ST,223,"S SPOKANE (NR&SR) ST, W/O 4TH AVE S",2014,21329,9500,316594, ,Y,2026.26245791872
283,48900200,Y,8526,9TH AVE,6,"9TH AVE, NW/O LENORA ST",2014,8526,4000,313297,Y, ,441.973229333234
284,49000210,R,8554,9TH AVE NE ON RAMP,5,"9TH AVE NE, S/O NE 75TH ST",2014,8554,7700,314641,Y, ,535.121755558716
285,80800090,N,11264,LAKESIDE AVE S,10,"LAKESIDE AVE S, S/O S DEARBORN ST",2014,11264,8000,313857,Y, ,16301.5087555437
286,300200,N,1211,1ST AVE S,32,"1ST AVE S, S/O S HORTON ST",2014,1211,23800,315984, ,Y,7546.9028850941
287,53150010,N,9047,BALLARD BR,,,,9047,54500,2013,,,5189.90318109541
288,101600170,N,13267,VALLEY ST,,,,13267,31900,2013,,,2369.01601737857
289,59000060,Y,9664,CHERRY ST,,,,,,,,,591.914847891363
290,139450010,N,18037,NE PACIFIC PL,,,,,,,,,958.722888872438
291,78850060,Y,11054,JAMES ST,,,,,,,,,321.540353449057
292,83000090,Y,11587,MADISON ST,,,,,,,,,642.791243776748
293,59920010,B,534681,COLMAN DOCK,,WSDOT data,,534681,11000,,,,260.525766088636
